,topic,tweet,tweets_cleaned
816,soda,"🎶 Might as well go for a soda 🎶 and ribs, sweet corn, beavertails and much more. Join us at Aurora’s Ribfest and enjoy the live show with @kimmitchellband at 9 p.m. See you there.  t.co/2pMztkLCqP t.co/Kp8yFGeDK1", might well go soda rib sweet corn beavertails much join u aurora ribfest enjoy live show kimmitchellband pm see tcopmztklcqp tcokpyfgedk
828,soda,"@agustingennoni el álbum negro de Metallica (le abrió la puerta a otros discos de metal que nunca hubiese escuchado), Dirt de Alice in Chains (me llevó a todo el grunge), Cuentos Decapitados de Catupecu, Dynammo de Soda y Parte de un Mal Sueño de Peces Raros (música electrónica)",agustingennoni el álbum negro de metallica le abrió la puerta otros disco de metal que nunca hubiese escuchado dirt de alice chain llevó todo el grunge cuentos decapitados de catupecu dynammo de soda parte de un mal sueño de peces raros música electrónica
836,soda,"@el_luiis_12 Este debe ser de los mismos que hablaba de la estación de torturas en Baquedano, la Soda Cáustica en el guanaco, las violaciones en la comisarías y toda esa sarta de mentiras que se les ocurre para defender sus fracasadas ideas.",elluiis este debe ser de los mismos que hablaba de la estación de torturas en baquedano la soda cáustica en el guanaco la violaciones en la comisarías toda esa sarta de mentiras que se le ocurre para defender sus fracasadas idea
846,soda,i put soda on the 🧱s ion be punching 🤷‍♂️,put soda ion punching 
847,soda,"COMO CHARLY GARCIA VA A CREAR SODA STEREO DIOS PEGATE UN TIRO

#ElUltimoPasajero",como charly garcia va crear soda stereo dios pegate un tiro elultimopasajero
857,soda,-rek apa bedanya susu soda dan soda gembira,rek apa bedanya susu soda dan soda gembira
858,soda,"We were well hydrated back in the day, but it came in the form of koolaid, tang, apple juice, squeeze-its, capri sun, hi-c, soda, the garden hose etc.

Remove the added colors, sugar, and deteriorating plastic and it’s all just water.",well hydrated back day came form koolaid tang apple juice squeezeits capri sun hic soda garden hose etc remove added color sugar deteriorating plastic water
866,soda,@marianocaba 😵‍💫 soda cáustica,marianocaba soda cáustica
878,soda,...you mean your club soda #Blocked,mean club soda blocked
882,soda,@redcream_soda 6人で食べたけど完食できなかったです😃,redcreamsoda 人で食べたけど完食できなかったです 
887,soda,@dbrodish63 Im in california we're soda people,dbrodish im california soda people
891,soda,"Price of just one salad and soda: $21. 

Hourly wage: $17.05. 

We are 1,000 airport food service workers, and we are ready to strike for fair wages.

#AirportStrikeAlert #sfo #1u t.co/INntL3iBPX",price one salad soda hourly wage airport food service worker ready strike fair wage airportstrikealert sfo u tcoinntlibpx
892,soda,That soda-fizzing spell was a bit too stroOURHP-ng t.co/wHlvOGCVzm,sodafizzing spell bit stroourhpng tcowhlvogcvzm
912,soda,@rellortnocon i will make these for me and mystery bf and i don't like it i can always give him mine and make more peach soda,rellortnocon make mystery bf dont like always give mine make peach soda
917,soda,"11yo just remixed a dad joke I told her last week and made it new.

Original: What do you call a fish with a bowtie? Sofishticated.

Remix: What did the glass of water say to the can of soda? You are sofizzticated.",yo remixed dad joke told last week made new original call fish bowtie sofishticated remix glass water say soda sofizzticated
919,soda,"【クーポン使用で1,429円☆期間限定！ソルティレモン残りわずか！ 】炭酸水 500ml 24本 送料無料 強炭酸 炭酸 無糖 ZAO SODA プレーン レモン ピンクグレープフルーツ 割り材 箱買い ライフドリンクカンパニー LIFEDRINK 熱中症対策 塩分 塩分補給 [楽天] t.co/QMliy9wYVr #RakutenIchiba t.co/jBNHGrco17", クーポン使用で円 期間限定 ソルティレモン残りわずか 炭酸水 ml 本 送料無料 強炭酸 炭酸 無糖 zao soda プレーン レモン ピンクグレープフルーツ 割り材 箱買い ライフドリンクカンパニー lifedrink 熱中症対策 塩分 塩分補給 楽天 tcoqmliywyvr rakutenichiba tcojbnhgrco
923,soda,@IsiahaSaid It’s def soda/carbonated though,isiahasaid def sodacarbonated though
936,soda,"@fargosi Que desesperado estás tómalo con soda ,no quiero que te dé un bobazo ,con que me.voy a divertir!!!!!😱😱😱",fargosi que desesperado estás tómalo con soda quiero que te dé un bobazo con que mevoy divertir 
937,soda,@ayano_soda 質問投稿されてからものの1時間で解決してるの最高ww男子寮はドマイナーじゃないよ！😂,ayanosoda 質問投稿されてからものの時間で解決してるの最高ww男子寮はドマイナーじゃないよ 
938,soda,"@TamePunk Correct take also Pork Soda, great album.",tamepunk correct take also pork soda great album
940,soda,"3 Khasiat Baking Soda untuk Kesehatan, Kamu Perlu Tahu t.co/Mqa1WxYCo7", khasiat baking soda untuk kesehatan kamu perlu tahu tcomqawxyco
946,soda,this is my petition for music venues to sell the bud light hard soda seltzers thank you,petition music venue sell bud light hard soda seltzer thank
951,soda,I started drinking ice cold sparkling water when I crave soda and it’s actually working! I still drink soda occasionally but I was hella addicted. It’s a win win too because I usually hate water 😅,started drinking ice cold sparkling water crave soda actually working still drink soda occasionally hella addicted win win usually hate water 
957,soda,"@LetItMelo do people like this watch cartoons and marvel at the crushed soda can inbetweens and be like 'damn, this animation sucks' i STG",letitmelo people like watch cartoon marvel crushed soda inbetweens like damn animation suck stg
958,soda,"@rc_with_soda 
ご応募ありがとうございます♪9/7まで使える「対象のカップ飲料いずれか1本の20円引券」です→猿田彦珈琲 カフェラテ砂糖不使用/ウチカフェカフェオレ/カフェオレ砂糖不使用/ブラック無糖/エスプレッソ
クーポンの使い方:t.co/oN5urt2tmo #ローソン t.co/0FZRaLqp1R",rcwithsoda ご応募ありがとうございます まで使える 対象のカップ飲料いずれか本の円引券 です 猿田彦珈琲 カフェラテ砂糖不使用ウチカフェカフェオレカフェオレ砂糖不使用ブラック無糖エスプレッソ クーポンの使い方tcoonurttmo ローソン tcofzralqpr
962,soda,"31 años de ‘Té Para Tres’, la gran canción de Soda Stereo en la voz de Gustavo Cerati, como parte de su clásico disco ‘Canción Animal’: t.co/DpRmYICPOj t.co/xRek7ICaAE", años de té para tres la gran canción de soda stereo en la voz de gustavo cerati como parte de su clásico disco canción animal tcodprmyicpoj tcoxrekicaae
963,soda,"@marieeeme_soda Dm ?
Dit oui ma teudalé akk bonne nouvelle sakh 🥺❤️🧑🏾‍🦯",marieeemesoda dm dit oui teudalé akk bonne nouvelle sakh 
966,soda,"@apple_soda_half 
ご応募ありがとうございます♪9/7まで使える「対象のカップ飲料いずれか1本の20円引券」です→猿田彦珈琲 カフェラテ砂糖不使用/ウチカフェカフェオレ/カフェオレ砂糖不使用/ブラック無糖/エスプレッソ
クーポンの使い方:t.co/92AB0VyUtj #ローソン t.co/uDHRHxVAcr",applesodahalf ご応募ありがとうございます まで使える 対象のカップ飲料いずれか本の円引券 です 猿田彦珈琲 カフェラテ砂糖不使用ウチカフェカフェオレカフェオレ砂糖不使用ブラック無糖エスプレッソ クーポンの使い方tcoabvyutj ローソン tcoudhrhxvacr
968,soda,"@LockheedSkonk I'm gonna get crucified but when I first had a Big Red I was expecting almost anything but a cream soda. Growing up, family functions always had bargain bin soda and I'd get stuck drinking the flavors no one else wanted so it tasted like sadness t.co/YtfbG4DMqr",lockheedskonk im gonna get crucified first big red expecting almost anything cream soda growing family function always bargain bin soda id get stuck drinking flavor one else wanted tasted like sadness tcoytfbgdmqr
977,soda,@suzannesamin can drink a normal sugar soda so i agev her one! NO! You can literally harm people!! Uncheck your fatphobia and realize people have diets not for aesthetic reasons! And even if! It's their decision!,suzannesamin drink normal sugar soda agev one literally harm people uncheck fatphobia realize people diet aesthetic reason even decision
980,soda,@JuniorJoop @marieeeme_soda Bayil bama nek mak après naleu diokh feu vert,juniorjoop marieeemesoda bayil bama nek mak après naleu diokh feu vert
990,soda,@nnaekki Then just buy sugar or buy normal soda.,nnaekki buy sugar buy normal soda
999,soda,"@BillyIdol No lo va a estar tomando con agua soda nomas mi rey, como los vecinos.",billyidol lo va estar tomando con agua soda noma mi rey como los vecinos
1000,soda,"@want__soda 
ご応募ありがとうございます♪9/7まで使える「対象のカップ飲料いずれか1本の20円引券」です→猿田彦珈琲 カフェラテ砂糖不使用/ウチカフェカフェオレ/カフェオレ砂糖不使用/ブラック無糖/エスプレッソ
クーポンの使い方:t.co/csujlqsDu6 #ローソン t.co/o6iZqjoCZw",wantsoda ご応募ありがとうございます まで使える 対象のカップ飲料いずれか本の円引券 です 猿田彦珈琲 カフェラテ砂糖不使用ウチカフェカフェオレカフェオレ砂糖不使用ブラック無糖エスプレッソ クーポンの使い方tcocsujlqsdu ローソン tcooizqjoczw
1009,soda,@SentirRiver912 @PabloMo_soda @hardriverpics Nop,sentirriver pablomosoda hardriverpics nop
1015,soda,"My go to drink. Mint, cucumber and club soda... 👌 refreshing t.co/Ik7EEf0V5g",go drink mint cucumber club soda refreshing tcoikeefvg
1022,soda,@ImJeffRussell1 I think they lost the battle with Pepsi and Coca cola. They used to be the affordable soda.,imjeffrussell think lost battle pepsi coca cola used affordable soda
1026,soda,@Peterbilt2008 Diet soda is the worst because of the sugar substitute--my opinion. I do drink regular soda and water most of the time and mostly water.,peterbilt diet soda worst sugar substitutemy opinion drink regular soda water time mostly water
1035,soda,The former girls basketball coach for Soda Springs High School was arrested Friday following a months-long investigation involving the Soda Springs Police Department and the Caribou County Sheriff’s Office. t.co/Bsa1RWZ6Yq,former girl basketball coach soda spring high school arrested friday following monthslong investigation involving soda spring police department caribou county sheriff office tcobsarwzyq
1037,soda,"#JUNGHOON #정훈 220903 instagram update

(Drinking) melon soda in front of the Dotonbori River 🍹

#OMEGA_X #오메가엑스 t.co/nfe7uhiYra",junghoon 정훈 instagram update drinking melon soda front dotonbori river omegax 오메가엑스 tconfeuhiyra
1049,soda,"sprite is fun soda 
7-up is i’m sick soda",sprite fun soda sick soda
1057,soda,"Wine-d down with us 🍷

Not a beer lover? We won’t judge you… too much 😉

Old Yale Chilliwack is all stocked up with plenty of non-beer options. We’re talking Wine, Cider, Cocktails, Craft Soda, Kombucha, and Coffee!

t.co/f7vo3Up33n t.co/mFY7Kq7f96",wined u beer lover judge much old yale chilliwack stocked plenty nonbeer option talking wine cider cocktail craft soda kombucha coffee tcofvoupn tcomfykqf
1068,soda,@JLCauvin Banana Republic-but not like the “cool place with all the clothes” 😂😂😂 “multiple KILOS of baking soda” 🤣🤣🤣,jlcauvin banana republicbut like cool place clothes multiple kilo baking soda 
1069,soda,@marb1e_soda holy shit omg,marbesoda holy shit omg
1074,soda,Una micheladita de soda no me caería nada mal🫶🏻,una micheladita de soda caería nada mal 
1075,soda,Se cumplieron 26 años de la grabación del legendario show MTV Unplugged de Soda Stereo: ‘Comfort Y Música Para Volar’ t.co/BHc1pX5IhM #CeratiEterno t.co/fryalKr0OP,se cumplieron años de la grabación del legendario show mtv unplugged de soda stereo comfort música para volar tcobhcpxihm ceratieterno tcofryalkrop
1076,soda,@ChetKazalski My go to is Tito’s and soda with 3 limes. But my favorite special occasion one is a super spicy margarita.,chetkazalski go tito soda lime favorite special occasion one super spicy margarita
1078,soda,"@gizeh82 Cuando lloramos por algo, lloramos por todo lo demás también, amor. Te entiendo porque así estaba yo cuando Soda se separó, fue el golpe más duro de mi adolescencia ❤️",gizeh cuando lloramos por algo lloramos por todo lo demás también amor te entiendo porque así estaba yo cuando soda se separó fue el golpe más duro de mi adolescencia 
1080,soda,"My review and thoughts on @CocaCola’s limited edition DrEaMwOrLd soda.

t.co/x0xxy7KLGR",review thought cocacola limited edition dreamworld soda tcoxxxyklgr
1113,soda,"【クーポン利用で1,279円☆ラベルレスボトル新登場！ 】炭酸水 500ml 24本 送料無料 強炭酸 炭酸 無糖 ZAO SODA ソルティレモン プレーン レモン ピンクグレープフルーツ 割り材 箱買い ライフドリンクカンパニー LIFEDRINK 熱中症対策 塩分 塩分補給 [楽天] t.co/BCY90XTLGR #rakuafl t.co/LFNnCEdFYy", クーポン利用で円 ラベルレスボトル新登場 炭酸水 ml 本 送料無料 強炭酸 炭酸 無糖 zao soda ソルティレモン プレーン レモン ピンクグレープフルーツ 割り材 箱買い ライフドリンクカンパニー lifedrink 熱中症対策 塩分 塩分補給 楽天 tcobcyxtlgr rakuafl tcolfnncedfyy
